_key;code;name;division;lat;lng;parent
AD;AD;Andorra;country;42.5075314;1.521815599999968;
AD-07;AD-07;Andorra la Vella;parish;42.5075314;1.521815599999968;AD
AD-02;AD-02;Canillo;parish;42.5660922;1.5967008999999734;AD
AD-03;AD-03;Encamp;parish;42.5363306;1.5831104999999752;AD
AD-08;AD-08;Escaldes-Engordany;parish;42.5088914;1.542137499999967;AD
AD-04;AD-04;La Massana;parish;42.5449448;1.5153695000000198;AD
AD-05;AD-05;Ordino;parish;42.5554593;1.533297800000014;AD
AD-06;AD-06;Sant Julià de Lòria;parish;42.4648686;1.4911495999999715;AD
AE;AE;United Arab Emirates;country;23.424076;53.84781799999996;
AE-AZ;AE-AZ;Abū Ȥaby [Abu Dhabi];emirate;24.4666667;54.366666699999996;AE
AE-AJ;AE-AJ;'Ajmān;emirate;25.3995;55.479600000000005;AE
AE-FU;AE-FU;Al Fujayrah;emirate;32.3182314;-86.90229799999997;AE
AE-SH;AE-SH;Ash Shāriqah;emirate;25.286123;55.37027899999998;AE
AE-DU;AE-DU;Dubayy;emirate;25.2644444;55.31166669999993;AE
AE-RK;AE-RK;Ra’s al Khaymah;emirate;;;AE
AE-UQ;AE-UQ;Umm al Qaywayn;emirate;25.584379;55.56436899999994;AE
AF;AF;Afghanistan;country;33.93911;67.70995300000004;
AF-BDS;AF-BDS;Badakhshān;province;;;AF
AF-BDG;AF-BDG;Bādghīs;province;;;AF
AF-BGL;AF-BGL;Baghlān;province;;;AF
AF-BAL;AF-BAL;Balkh;province;36.7597;66.88969999999995;AF
AF-BAM;AF-BAM;Bāmīān;province;;;AF
AF-DAY;AF-DAY;Dāykondī;province;;;AF
AF-FRA;AF-FRA;Farāh;province;;;AF
AF-FYB;AF-FYB;Fāryāb;province;;;AF
AF-GHA;AF-GHA;Ghaznī;province;;;AF
AF-GHO;AF-GHO;Ghowr;province;;;AF
AF-HEL;AF-HEL;Helmand;province;;;AF
AF-HER;AF-HER;Herāt;province;34.3739;62.17920000000004;AF
AF-JOW;AF-JOW;Jowzjān;province;;;AF
AF-KAB;AF-KAB;Kābul [Kābol];province;34.7230556;69.6238889;AF
AF-KAN;AF-KAN;Kandahār;province;31.6031;65.76150000000007;AF
AF-KAP;AF-KAP;Kāpīsā;province;;;AF
AF-KHO;AF-KHO;Khowst;province;33.33445;69.92015100000003;AF
AF-KNR;AF-KNR;Konar [Kunar];province;34.634171;70.858971;AF
AF-KDZ;AF-KDZ;Kondoz [Kunduz];province;36.8599307;68.71549749999997;AF
AF-LAG;AF-LAG;Laghmān;province;;;AF
AF-LOW;AF-LOW;Lowgar;province;;;AF
AF-NAN;AF-NAN;Nangrahār [Nangarhār];province;;;AF
AF-NIM;AF-NIM;Nīmrūz;province;;;AF
AF-NUR;AF-NUR;Nūrestān;province;;;AF
AF-ORU;AF-ORU;Orūzgān [Urūzgān];province;;;AF
AF-PAN;AF-PAN;Panjshīr;province;;;AF
AF-PIA;AF-PIA;Paktīā;province;40.6629554;-89.69234719999997;AF
AF-PKA;AF-PKA;Paktīkā;province;;;AF
AF-PAR;AF-PAR;Parwān;province;;;AF
AF-SAM;AF-SAM;Samangān;province;35.961372;67.26587700000005;AF
AF-SAR;AF-SAR;Sar-e Pol;province;36.2256;65.92730000000006;AF
AF-TAK;AF-TAK;Takhār;province;;;AF
AF-WAR;AF-WAR;Wardak [Wardag];province;;;AF
AF-ZAB;AF-ZAB;Zābol [Zābul];province;;;AF
AG;AG;Antigua and Barbuda;country;17.060816;-61.79642799999999;
AG-03;AG-03;Saint George;parish;17.1265542;-61.847537699999975;AG
AG-04;AG-04;Saint John;parish;17.117528;-61.845556999999985;AG
AG-05;AG-05;Saint Mary;parish;17.1208691;-61.8420893;AG
AG-06;AG-06;Saint Paul;parish;30.2705828;-91.1018752;AG
AG-07;AG-07;Saint Peter;parish;47.63356;-56.23132900000002;AG
AG-08;AG-08;Saint Philip;parish;;;AG
AG-10;AG-10;Barbuda;dependency;17.626798;-61.77072880000003;AG
AG-11;AG-11;Redonda;dependency;16.938416;-62.34551479999999;AG
AL;AL;Albania;country;41.153332;20.168330999999966;
AL-01;AL-01;Berat;county;40.7;19.950000000000045;AL
AL-09;AL-09;Dibër;county;;;AL
AL-02;AL-02;Durrës;county;41.3166667;19.450000000000045;AL
AL-03;AL-03;Elbasan;county;41.11684;20.09262100000001;AL
AL-04;AL-04;Fier;county;40.730019;19.573259000000007;AL
AL-05;AL-05;Gjirokastër;county;40.078751;20.14862100000005;AL
AL-06;AL-06;Korçë;county;40.618307;20.79006000000004;AL
AL-07;AL-07;Kukës;county;42.084391;20.420250500000066;AL
AL-08;AL-08;Lezhë;county;41.787731;19.654070000000047;AL
AL-10;AL-10;Shkodër;county;42.074299;19.52765999999997;AL
AL-11;AL-11;Tiranë;county;41.33;19.819999999999936;AL
AL-12;AL-12;Vlorë;county;40.471882;19.490219000000025;AL
AL-BR;AL-BR;Berat;district;42.8720128;-0.5582494999999881;AL-01
AL-BU;AL-BU;Bulqizë;district;;;AL-09
AL-DL;AL-DL;Delvinë;district;39.95;20.100000000000023;AL-12
AL-DV;AL-DV;Devoll;district;;;AL-06
AL-DI;AL-DI;Dibër;district;;;AL-09
AL-DR;AL-DR;Durrës;district;41.807445;19.943543699999964;AL-02
AL-EL;AL-EL;Elbasan;district;;;AL-03
AL-FR;AL-FR;Fier;district;;;AL-04
AL-GR;AL-GR;Gramsh;district;40.8646209;20.187131200000067;AL-03
AL-GJ;AL-GJ;Gjirokastër;district;;;AL-05
AL-HA;AL-HA;Has;district;;;AL-07
AL-KA;AL-KA;Kavajë;district;;;AL-11
AL-ER;AL-ER;Kolonjë;district;;;AL-06
AL-KO;AL-KO;Korçë;district;;;AL-06
AL-KR;AL-KR;Krujë;district;;;AL-02
AL-KC;AL-KC;Kuçovë;district;;;AL-01
AL-KU;AL-KU;Kukës;district;;;AL-07
AL-KB;AL-KB;Kurbin;district;;;AL-08
AL-LE;AL-LE;Lezhë;district;;;AL-08
AL-LB;AL-LB;Librazhd;district;;;AL-03
AL-LU;AL-LU;Lushnjë;district;;;AL-04
AL-MM;AL-MM;Malësi e Madhe;district;;;AL-10
AL-MK;AL-MK;Mallakastër;district;;;AL-04
